Date / Time;Mode;Category;Sub category;Income/Expense;Debit/Credit
Jumat, 01 Januari 2021;CUB - online payment;Allowance;From dad;Income;8000
Jumat, 01 Januari 2021;CUB - online payment;Food;Snacks;Expense;85
Minggu, 03 Januari 2021;CUB - online payment;Other;From dad;Income;500
Minggu, 03 Januari 2021;CUB - online payment;Household;Stuffs;Expense;6667
Minggu, 03 Januari 2021;CUB - online payment;Transportation;Metro;Expense;30
Minggu, 03 Januari 2021;CUB - online payment;Food;Dinner;Expense;78
Selasa, 12 Januari 2021;CUB - online payment;Food;Lunch with company;Expense;1460
Rabu, 13 Januari 2021;CUB - online payment;Transportation;Rapido to pg;Expense;43
Rabu, 13 Januari 2021;CUB - online payment;Food;Dinner;Expense;66
Kamis, 14 Januari 2021;CUB - online payment;Other;Gundan + prasanna;Income;340
Jumat, 15 Januari 2021;CUB - online payment;Other;From dad;Income;1500
Jumat, 15 Januari 2021;CUB - online payment;Food;Snacks;Expense;70
Minggu, 17 Januari 2021;CUB - online payment;Food;Eve snack;Expense;1100
Senin, 18 Januari 2021;CUB - online payment;Food;Lunch with company;Expense;148
Senin, 18 Januari 2021;CUB - online payment;Food;Snack with preethi;Expense;59
Senin, 18 Januari 2021;CUB - online payment;Food;Dinner;Expense;301,15
Selasa, 19 Januari 2021;CUB - online payment;Food;Lunch + chocolate for preethi;Expense;171
Kamis, 21 Januari 2021;CUB - online payment;Other;From vicky;Income;200
Kamis, 21 Januari 2021;CUB - online payment;Food;Snacks;Expense;37
Kamis, 21 Januari 2021;CUB - online payment;Food;Lunch with company;Expense;188
Sabtu, 23 Januari 2021;CUB - online payment;Other;From dad;Income;2000
Sabtu, 23 Januari 2021;CUB - online payment;Food;Snacks with preethi and azar;Expense;176
Sabtu, 23 Januari 2021;CUB - online payment;apparel;Badminton;Expense;200
Sabtu, 23 Januari 2021;CUB - online payment;Other;From vicky;Income;310
Senin, 25 Januari 2021;CUB - online payment;Food;Lemon tea;Expense;18
Selasa, 26 Januari 2021;CUB - online payment;Food;Paani poori;Expense;25
Selasa, 26 Januari 2021;CUB - online payment;Other;Vishnu 100 gowdham 25;Income;125
Selasa, 26 Januari 2021;CUB - online payment;Food;Snacks;Expense;115
Rabu, 27 Januari 2021;CUB - online payment;salary;office;Income;55000
Rabu, 27 Januari 2021;CUB - online payment;Food;Zinger box meal;Expense;279
Rabu, 27 Januari 2021;CUB - online payment;Other;To vishnu;Expense;1100
Kamis, 28 Januari 2021;CUB - online payment;Food;Lunch with company;Expense;138
Kamis, 28 Januari 2021;CUB - online payment;Food;Banana;Expense;10
Jumat, 29 Januari 2021;CUB - online payment;Other;Sent to barath;Expense;100
Sabtu, 30 Januari 2021;CUB - online payment;Food;Brunch;Expense;105
Sabtu, 30 Januari 2021;CUB - online payment;Food;Cycle gap ;Expense;120
Sabtu, 30 Januari 2021;CUB - online payment;Food;Dinner;Expense;155
Minggu, 31 Januari 2021;CUB - online payment;Other;To vicky;Expense;200
Senin, 01 Februari 2021;CUB - online payment;Transportation;Train to vnr;Expense;725
Senin, 01 Februari 2021;CUB - online payment;Food;Dinner with barath;Expense;200
Senin, 01 Februari 2021;CUB - online payment;Other;Tablet to gowdham;Expense;8
Selasa, 02 Februari 2021;CUB - online payment;Food;Parotta;Expense;120
Rabu, 03 Februari 2021;CUB - online payment;Food;Brownie;Expense;50
Sabtu, 13 Februari 2021;CUB - online payment;apparel;Games ;Expense;100
Selasa, 16 Februari 2021;CUB - online payment;Food;Kfc ;Expense;475
Selasa, 16 Februari 2021;CUB - online payment;Food;Side dishes;Expense;165
Rabu, 17 Februari 2021;CUB - online payment;Food;Lunch;Expense;80
Kamis, 18 Februari 2021;CUB - online payment;Food;Kfc dinner;Expense;348
Jumat, 19 Februari 2021;CUB - online payment;Transportation;To egmore;Expense;2709
Jumat, 19 Februari 2021;CUB - online payment;Other;To auto anna;Expense;50
Jumat, 19 Februari 2021;CUB - online payment;Transportation;Metro;Expense;60
Jumat, 19 Februari 2021;CUB - online payment;Transportation;Bus ticket;Expense;1575
Jumat, 19 Februari 2021;CUB - online payment;Food;Snacks;Expense;250
Jumat, 19 Februari 2021;CUB - online payment;Food;Random stuff for drinks;Expense;111
Sabtu, 20 Februari 2021;CUB - online payment;Food;Lunch;Expense;200
Minggu, 21 Februari 2021;CUB - online payment;Transportation;Train cbe to chn;Expense;201,8
Minggu, 21 Februari 2021;CUB - online payment;Household;Stuffs;Expense;3336
Minggu, 21 Februari 2021;CUB - online payment;Transportation;It better be worth it;Expense;1300
Selasa, 23 Februari 2021;CUB - online payment;Food;Eggs;Expense;83
Selasa, 23 Februari 2021;CUB - online payment;Apparel;Hoodie for gobi;Expense;3999
Rabu, 24 Februari 2021;CUB - online payment;Food;Creamstone;Expense;289
Jumat, 26 Februari 2021;CUB - online payment;Food;Tea lights;Expense;84
Jumat, 26 Februari 2021;CUB - online payment;Other;To karthi;Expense;100
Sabtu, 27 Februari 2021;CUB - online payment;Food;Lunch;Expense;243
Minggu, 28 Februari 2021;CUB - online payment;salary;office;Income;55000
Minggu, 28 Februari 2021;CUB - online payment;Food;Pizza;Expense;339,15
Senin, 01 Maret 2021;CUB - online payment;Other;From abi;Income;300
Senin, 01 Maret 2021;CUB - online payment;Food;Lunch unlimited nv;Expense;300
Senin, 01 Maret 2021;CUB - online payment;Other;From shakur;Income;1140
Senin, 01 Maret 2021;CUB - online payment;Other;From barath;Income;201
Senin, 01 Maret 2021;CUB - online payment;Food;Dairy milk;Expense;10
Selasa, 02 Maret 2021;CUB - online payment;Other;To gowdham;Expense;150
Selasa, 02 Maret 2021;CUB - online payment;Food;Good soup;Expense;50
Senin, 15 Maret 2021;CUB - online payment;Transportation;Bus to Bangalore;Expense;1365
Minggu, 21 Maret 2021;CUB - online payment;salary;office;Income;55000
Senin, 22 Maret 2021;CUB - online payment;Household;Stuffs;Expense;5120
Selasa, 23 Maret 2021;CUB - online payment;Apparel;Earphone;Expense;3997
Rabu, 31 Maret 2021;CUB - online payment;Transportation;To ksr station;Expense;153
Kamis, 01 April 2021;CUB - online payment;Food;Sent to preethi;Expense;107
Kamis, 01 April 2021;CUB - online payment;Other;To vicky;Expense;80
Kamis, 01 April 2021;CUB - online payment;Food;Lunch with company;Expense;106
Kamis, 01 April 2021;CUB - online payment;Education;Arrear and reval fee;Expense;14000
Sabtu, 03 April 2021;CUB - online payment;Other;To lended people;Expense;300
Senin, 19 April 2021;CUB - online payment;Transportation;Took from sbi;Expense;200
Senin, 19 April 2021;CUB - online payment;Food;Ramen with gobi;Expense;380
Rabu, 21 April 2021;CUB - online payment;Salary;office;Income;55000
