Date / Time,Mode,Category,Sub category,Income / Expense,Debit / Credit,Cumulative
01-01-2021,CUB - online payment,Allowance,From dad,Income,8000,8000
01-01-2021,CUB - online payment,Food,Snacks,Expense,85,7915
03-01-2021,CUB - online payment,Other,From dad,Income,500,8415
03-01-2021,CUB - online payment,Household,Stuffs,Expense,6667,1748
03-01-2021,CUB - online payment,Transportation,Metro,Expense,30,1718
03-01-2021,CUB - online payment,Food,Dinner,Expense,78,1640
12-01-2021,CUB - online payment,Food,Lunch with company,Expense,1460,180
13-01-2021,CUB - online payment,Transportation,Rapido to pg,Expense,43,137
13-01-2021,CUB - online payment,Food,Dinner,Expense,66,71
14-01-2021,CUB - online payment,Other,Gundan + prasanna,Income,340,411
15-01-2021,CUB - online payment,Other,From dad,Income,1500,1911
15-01-2021,CUB - online payment,Food,Snacks,Expense,70,1841
17-01-2021,CUB - online payment,Food,Eve snack,Expense,1100,741
18-01-2021,CUB - online payment,Food,Lunch with company,Expense,148,593
18-01-2021,CUB - online payment,Food,Snack with preethi,Expense,59,534
18-01-2021,CUB - online payment,Food,Dinner,Expense,301.15,232.85
19-01-2021,CUB - online payment,Food,Lunch + chocolate for preethi,Expense,171,61.85
21-01-2021,CUB - online payment,Other,From vicky,Income,200,261.85
21-01-2021,CUB - online payment,Food,Snacks,Expense,37,224.85
21-01-2021,CUB - online payment,Food,Lunch with company,Expense,188,36.85
23-01-2021,CUB - online payment,Other,From dad,Income,2000,2036.85
23-01-2021,CUB - online payment,apparel,Badminton,Expense,200,1836.85
23-01-2021,CUB - online payment,Food,Snacks with preethi and azar,Expense,176,1660.85
23-01-2021,CUB - online payment,Other,From vicky,Income,310,1970.85
25-01-2021,CUB - online payment,Food,Lemon tea,Expense,18,1952.85
26-01-2021,CUB - online payment,Food,Paani poori,Expense,25,1927.85
26-01-2021,CUB - online payment,Other,Vishnu 100 gowdham 25,Income,125,2052.85
26-01-2021,CUB - online payment,Food,Snacks,Expense,115,1937.85
27-01-2021,CUB - online payment,salary,office,Income,55000,56937.85
27-01-2021,CUB - online payment,Food,Zinger box meal,Expense,279,56658.85
27-01-2021,CUB - online payment,Other,To vishnu,Expense,1100,55558.85
28-01-2021,CUB - online payment,Food,Lunch with company,Expense,138,55420.85
28-01-2021,CUB - online payment,Food,Banana,Expense,10,55410.85
29-01-2021,CUB - online payment,Other,Sent to barath,Expense,100,55310.85
30-01-2021,CUB - online payment,Food,Brunch,Expense,105,55205.85
30-01-2021,CUB - online payment,Food,Cycle gap ,Expense,120,55085.85
30-01-2021,CUB - online payment,Food,Dinner,Expense,155,54930.85
31-01-2021,CUB - online payment,Other,To vicky,Expense,200,54730.85
01-02-2021,CUB - online payment,Transportation,Train to vnr,Expense,725,54005.85
01-02-2021,CUB - online payment,Food,Dinner with barath,Expense,200,53805.85
01-02-2021,CUB - online payment,Other,Tablet to gowdham,Expense,8,53797.85
02-02-2021,CUB - online payment,Food,Parotta,Expense,120,53677.85
03-02-2021,CUB - online payment,Food,Brownie,Expense,50,53627.85
13-02-2021,CUB - online payment,apparel,Games ,Expense,100,53527.85
16-02-2021,CUB - online payment,Food,Kfc ,Expense,475,53052.85
16-02-2021,CUB - online payment,Food,Side dishes,Expense,165,52887.85
17-02-2021,CUB - online payment,Food,Lunch,Expense,80,52807.85
18-02-2021,CUB - online payment,Food,Kfc dinner,Expense,348,52459.85
19-02-2021,CUB - online payment,Transportation,To egmore,Expense,2709,49750.85
19-02-2021,CUB - online payment,Other,To auto anna,Expense,50,49700.85
19-02-2021,CUB - online payment,Transportation,Metro,Expense,60,49640.85
19-02-2021,CUB - online payment,Transportation,Bus ticket,Expense,1575,48065.85
19-02-2021,CUB - online payment,Food,Snacks,Expense,250,47815.85
19-02-2021,CUB - online payment,Food,Random stuff for drinks,Expense,111,47704.85
20-02-2021,CUB - online payment,Food,Lunch,Expense,200,47504.85
21-02-2021,CUB - online payment,Transportation,Train cbe to chn,Expense,201.8,47303.05
